Date,raw_ID_sample_number,sample_ID,pH,Fed_Unfed,Replicate,Number,Plate,Run,time,Chaet_count,PLY_count,Low_chlorophyll_count,Volume (µL),Chaet_cell.ml,PLY_cell.ml,Low_chlorophyll_cell.ml
20210914,NA,8.0A,8,fed,A,1,NA,1,0,1286,59,678,33,38969.69697,1787.878788,20545.45455
20210914,NA,8.0A,8,fed,A,1,NA,1,10,1169,46,713,33,35424.24242,1393.939394,21606.06061
20210914,NA,8.0A,8,fed,A,1,NA,1,27,1154,56,636,33,34969.69697,1696.969697,19272.72727
20210914,NA,8.0A,8,fed,A,1,NA,1,47,1109,50,2374,33,33606.06061,1515.151515,71939.39394
20210914,NA,8.0A,8,fed,A,1,NA,1,57,1075,35,607,33,32575.75758,1060.606061,18393.93939
20210914,NA,8.0A,8,fed,A,1,NA,1,70,1045,48,658,33,31666.66667,1454.545455,19939.39394
20210914,NA,8.0A,8,fed,A,1,NA,1,90,981,22,655,33,29727.27273,666.6666667,19848.48485
20210914,NA,8.0B ,8,fed,B,1,NA,1,0,1269,63,733,33,38454.54545,1909.090909,22212.12121
20210914,NA,8.0B ,8,fed,B,1,NA,1,10,1251,60,691,33,37909.09091,1818.181818,20939.39394
20210914,NA,8.0B ,8,fed,B,1,NA,1,27,1170,63,628,33,35454.54545,1909.090909,19030.30303
20210914,NA,8.0B ,8,fed,B,1,NA,1,47,1101,56,921,33,33363.63636,1696.969697,27909.09091
20210914,NA,8.0B ,8,fed,B,1,NA,1,57,927,48,534,33,28090.90909,1454.545455,16181.81818
20210914,NA,8.0B ,8,fed,B,1,NA,1,70,950,47,572,33,28787.87879,1424.242424,17333.33333
20210914,NA,8.0B ,8,fed,B,1,NA,1,90,715,49,408,33,21666.66667,1484.848485,12363.63636
20210914,NA,8.0C,8,fed,C,1,NA,1,0,1275,73,764,33,38636.36364,2212.121212,23151.51515
20210914,NA,8.0C,8,fed,C,1,NA,1,10,1229,56,788,33,37242.42424,1696.969697,23878.78788
20210914,NA,8.0C,8,fed,C,1,NA,1,27,1296,60,759,33,39272.72727,1818.181818,23000
20210914,NA,8.0C,8,fed,C,1,NA,1,47,1024,46,668,33,31030.30303,1393.939394,20242.42424
20210914,NA,8.0C,8,fed,C,1,NA,1,57,927,31,595,33,28090.90909,939.3939394,18030.30303
20210914,NA,8.0C,8,fed,C,1,NA,1,70,882,44,534,33,26727.27273,1333.333333,16181.81818
20210914,NA,8.0C,8,fed,C,1,NA,1,90,1011,101,628,33,30636.36364,3060.606061,19030.30303
20210914,NA,Blank,8,NA,NA,NA,NA,1,0,1275,74,767,33,38636.36364,2242.424242,23242.42424
20210914,NA,Blank,8,NA,NA,NA,NA,1,10,1273,61,698,33,38575.75758,1848.484848,21151.51515
20210914,NA,Blank,8,NA,NA,NA,NA,1,27,1329,201,755,33,40272.72727,6090.909091,22878.78788
20210914,NA,Blank,8,NA,NA,NA,NA,1,47,1215,79,759,33,36818.18182,2393.939394,23000
20210914,NA,Blank,8,NA,NA,NA,NA,1,57,1228,60,713,33,37212.12121,1818.181818,21606.06061
20210914,NA,Blank,8,NA,NA,NA,NA,1,70,1256,45,695,33,38060.60606,1363.636364,21060.60606
20210914,NA,Blank,8,NA,NA,NA,NA,1,90,1266,63,660,33,38363.63636,1909.090909,20000
20210914,NA,7.5A,7.5,fed,A,1,NA,1,0,1245,69,717,33,37727.27273,2090.909091,21727.27273
20210914,NA,7.5A,7.5,fed,A,1,NA,1,10,1127,55,666,33,34151.51515,1666.666667,20181.81818
20210914,NA,7.5A,7.5,fed,A,1,NA,1,27,1029,266,640,33,31181.81818,8060.606061,19393.93939
20210914,NA,7.5A,7.5,fed,A,1,NA,1,47,941,41,518,33,28515.15152,1242.424242,15696.9697
20210914,NA,7.5A,7.5,fed,A,1,NA,1,57,651,28,504,33,19727.27273,848.4848485,15272.72727
20210914,NA,7.5A,7.5,fed,A,1,NA,1,70,799,48,502,33,24212.12121,1454.545455,15212.12121
20210914,NA,7.5A,7.5,fed,A,1,NA,1,90,498,22,375,33,15090.90909,666.6666667,11363.63636
20210914,NA,7.5B,7.5,fed,B,1,NA,1,0,1255,75,723,33,38030.30303,2272.727273,21909.09091
20210914,NA,7.5B,7.5,fed,B,1,NA,1,10,1270,66,744,33,38484.84848,2000,22545.45455
20210914,NA,7.5B,7.5,fed,B,1,NA,1,27,1053,52,618,33,31909.09091,1575.757576,18727.27273
20210914,NA,7.5B,7.5,fed,B,1,NA,1,47,979,45,699,33,29666.66667,1363.636364,21181.81818
20210914,NA,7.5B,7.5,fed,B,1,NA,1,57,786,35,480,33,23818.18182,1060.606061,14545.45455
20210914,NA,7.5B,7.5,fed,B,1,NA,1,70,754,29,487,33,22848.48485,878.7878788,14757.57576
20210914,NA,7.5B,7.5,fed,B,1,NA,1,90,672,28,515,33,20363.63636,848.4848485,15606.06061
20210914,NA,7.5C,7.5,fed,C,1,NA,1,0,1296,61,780,33,39272.72727,1848.484848,23636.36364
20210914,NA,7.5C,7.5,fed,C,1,NA,1,10,1160,45,690,33,35151.51515,1363.636364,20909.09091
20210914,NA,7.5C,7.5,fed,C,1,NA,1,27,982,171,608,33,29757.57576,5181.818182,18424.24242
20210914,NA,7.5C,7.5,fed,C,1,NA,1,47,858,32,589,33,26000,969.6969697,17848.48485
20210914,NA,7.5C,7.5,fed,C,1,NA,1,57,676,40,547,33,20484.84848,1212.121212,16575.75758
20210914,NA,7.5C,7.5,fed,C,1,NA,1,70,855,30,522,33,25909.09091,909.0909091,15818.18182
20210914,NA,7.5C,7.5,fed,C,1,NA,1,90,475,16,467,33,14393.93939,484.8484848,14151.51515
20210914,NA,Blank,7.5,NA,NA,NA,NA,1,90,1245,74,667,33,37727.27273,2242.424242,20212.12121
20210914,NA,Blank,7.5,NA,NA,NA,NA,1,90,1306,74,738,33,39575.75758,2242.424242,22363.63636
20210914,NA,Blank,7.5,NA,NA,NA,NA,1,90,1226,198,795,33,37151.51515,6000,24090.90909
20210914,NA,Blank,7.5,NA,NA,NA,NA,1,90,1248,73,748,33,37818.18182,2212.121212,22666.66667
20210914,NA,Blank,7.5,NA,NA,NA,NA,1,90,1204,48,693,33,36484.84848,1454.545455,21000
20210914,NA,Blank,7.5,NA,NA,NA,NA,1,90,1302,46,701,33,39454.54545,1393.939394,21242.42424
20210914,NA,Blank,7.5,NA,NA,NA,NA,1,90,1235,43,703,33,37424.24242,1303.030303,21303.0303
20210914,NA,8.0D,8,fed,D,1,NA,2,0,1236,73,856,33,37454.54545,2212.121212,25939.39394
20210914,NA,8.0D,8,fed,D,1,NA,2,10,1219,89,709,33,36939.39394,2696.969697,21484.84848
20210914,NA,8.0D,8,fed,D,1,NA,2,20,1176,79,879,33,35636.36364,2393.939394,26636.36364
20210914,NA,8.0D,8,fed,D,1,NA,2,30,1186,92,822,33,35939.39394,2787.878788,24909.09091
