Date	Type_exp		Chamber_bucket	pH	OA_Treatment	Salinity	t(oC)_spec	P _(dbars)	Total_P_(mmol/kgSW)	Total_Si_(mmol/kgSW)	t(oC)_of bucket	P_(dbars)	TA_(mmol/kgSW)	TCO2_(mmol/kgSW)	pH_Chosen_scale_(4_decimals)	pH_out_MeasTemp	pCO2_out_(matm)_MeasTemp	Wca_out_MeasTemp	War_out_MeasTemp	pH_out	pCO2_out_(matm)	Wca_out	War_out
7/26/2021	Larvae		1		Ambient	26.8	20.47	1	0	0	22.6	1	1921.36	1759.18	7.9391	7.908	505.6	2.77	1.77	7.872	555.9	2.81	1.81
7/26/2021	Larvae		2		Ambient	26.7	20.29	1	0	0	22.7	1	1912.37	1754.19	7.9503	7.914	496.3	2.81	1.79	7.881	543.6	2.85	1.83
7/26/2021	Larvae		3		Ambient	26.8	20.3	1	0	0	22.7	1	1923.36	1765.97	7.9371	7.904	515.2	2.75	1.76	7.868	564.2	2.79	1.8
7/26/2021	Larvae		4		Ambient	26.9	20.32	1	0	0	22.7	1	1919.56	1755.37	7.9573	7.925	486.9	2.87	1.83	7.888	533.4	2.91	1.87
7/26/2021	Larvae		5		Ambient	26.9	20.26	1	0	0	22.7	1	1917.14	1754.08	7.9276	7.894	523.8	2.68	1.71	7.858	573.5	2.72	1.75
7/26/2021	Larvae		6		Mid	26.9	20.15	1	0	0	22.8	1	1926.79	1829.44	7.7487	7.713	840.8	1.88	1.2	7.681	913.5	1.91	1.23
7/26/2021	Larvae		7		Mid	26.8	20.15	1	0	0	22.7	1	1920.36	1810.87	7.8033	7.767	730.1	2.1	1.34	7.734	797.3	2.13	1.37
7/26/2021	Larvae		8		Mid	26.9	20.17	1	0	0	22.7	1	1922.1	1827.91	7.7578	7.724	818.7	1.92	1.23	7.69	893.2	1.95	1.26
7/26/2021	Larvae		9		Mid	26.9	20.22	1	0	0	22.7	1	1917.85	1808.02	7.8131	7.774	710	2.15	1.37	7.745	775.6	2.18	1.41
7/26/2021	Larvae		10		Mid	27	20.21	1	0	0	22.8	1	1923.86	1826.06	7.7626	7.723	810.1	1.95	1.25	7.695	880.6	1.98	1.27
7/26/2021	Larvae		11		High	27	20.17	1	0	0	22.7	1	1923.17	1900.14	7.4984	7.468	1543	1.12	0.72	7.438	1669.4	1.15	0.74
7/26/2021	Larvae		12		High	26.9	20.11	1	0	0	22.7	1	1924.02	1910.03	7.4452	7.418	1752.5	0.99	0.63	7.386	1892.3	1.02	0.66
7/26/2021	Larvae		13		High	26.9	20.24	1	0	0	22.7	1	1920.68	1886.98	7.5329	7.498	1415.3	1.2	0.77	7.472	1533.2	1.23	0.79
7/26/2021	Larvae		14		High	27	20.24	1	0	0	22.8	1	1917.2	1915.95	7.4284	7.399	1823.7	0.96	0.62	7.371	1961.5	0.99	0.64
7/26/2021	Larvae		15		High	27	20.2	1	0	0	22.9	1	1914.61	1915.92	7.4218	7.387	1859	0.95	0.61	7.364	1992.3	0.97	0.63
7/28/2021	Larvae		1		Ambient	26.9	20.32	1	0	0	22.4	1	1891.68	1713.09	7.9575	7.929	469.3	2.79	1.79	7.888	520.3	2.84	1.83
7/28/2021	Larvae		2		Ambient	26.8	20.47	1	0	0	22.4	1	1914.02	1740.98	7.9529	7.921	480.1	2.82	1.8	7.886	532.3	2.86	1.84
7/28/2021	Larvae		3		Ambient	26.9	20.41	1	0	0	22.4	1	1927.19	1746.16	7.9584	7.93	475.8	2.86	1.83	7.89	527.5	2.91	1.87
7/28/2021	Larvae		4		Ambient	26.9	20.32	1	0	0	22.4	1	1919.16	1743.75	7.9654	7.939	468.7	2.89	1.85	7.896	519.7	2.94	1.89
7/28/2021	Larvae		5		Ambient	26.9	20.24	1	0	0	22.4	1	1914.13	1743.54	7.9308	7.898	510.9	2.68	1.71	7.861	566.1	2.72	1.75
7/28/2021	Larvae		6		Mid	26.9	20.4	1	0	0	22.5	1	1923.3	1818.21	7.7565	7.73	804.4	1.92	1.22	7.692	884.4	1.95	1.26
7/28/2021	Larvae		7		Mid	26.9	20.26	1	0	0	22.4	1	1918.05	1822.73	7.7304	7.7	857.9	1.8	1.15	7.664	946	1.84	1.18
7/28/2021	Larvae		8		Mid	26.9	20.29	1	0	0	22.4	1	1922.77	1821.56	7.7397	7.71	838.1	1.84	1.18	7.674	924.4	1.88	1.21
7/28/2021	Larvae		9		Mid	26.9	20.31	1	0	0	22.4	1	1917.31	1822.98	7.745	7.72	827.9	1.87	1.19	7.679	913.3	1.9	1.22
7/28/2021	Larvae		10		Mid	27	20.25	1	0	0	22.7	1	1924.27	1817.49	7.7579	7.725	811	1.92	1.23	7.691	884.8	1.95	1.26
7/28/2021	Larvae		11		High	27	20.3	1	0	0	22.4	1	1932.1	1908.62	7.4504	7.424	1703.1	1.01	0.64	7.393	1858.3	1.04	0.67
7/28/2021	Larvae		12		High	27	20.25	1	0	0	22.4	1	1924.48	1916.77	7.4169	7.394	1846.7	0.94	0.6	7.36	2012.1	0.97	0.62
7/28/2021	Larvae		13		High	27	20.26	1	0	0	22.8	1	1934.96	1917.84	7.4176	7.389	1869.1	0.94	0.6	7.361	2009.6	0.97	0.62
7/28/2021	Larvae		14		High	27	20.24	1	0	0	22.8	1	1919.08	1918.8	7.4112	7.379	1898	0.93	0.59	7.354	2040.2	0.95	0.61
7/28/2021	Larvae		15		High	27	20.4	1	0	0	22.8	1	1938.18	1924.51	7.4172	7.391	1870.1	0.95	0.61	7.362	2010.7	0.97	0.63
7/30/2021	Larvae		1		Ambient	27.2	20.36	1	0	0	22.4	1	1920.62	1732.57	7.9859	7.959	441.3	3.03	1.94	7.917	489.5	3.07	1.98
7/30/2021	Larvae		2		Ambient	27.2	20.22	1	0	0	22.4	1	1922.3	1738.46	7.9889	7.957	441.8	3.04	1.95	7.918	490.1	3.09	1.99
7/30/2021	Larvae		3		Ambient	27.1	20.02	1	0	0	22.5	1	1918.14	1736.05	7.9908	7.953	444.6	3.03	1.94	7.917	491.1	3.07	1.98
7/30/2021	Larvae		4		Ambient	27.1	20.11	1	0	0	22.4	1	1915.77	1738.27	7.9834	7.946	449.9	2.99	1.91	7.911	499	3.03	1.95
7/30/2021	Larvae		5		Ambient	27.1	20.11	1	0	0	22.4	1	1919.81	1744.25	7.9384	7.906	503.3	2.72	1.74	7.866	557.8	2.76	1.78
7/30/2021	Larvae		6		Mid	27.2	20.03	1	0	0	22.4	1	1921.98	1817.64	7.7574	7.726	807.4	1.91	1.22	7.687	891	1.94	1.25
7/30/2021	Larvae		7		Mid	27.1	20.02	1	0	0	22.5	1	1916.67	1817.67	7.7573	7.725	811.6	1.9	1.22	7.687	892.2	1.94	1.25
7/30/2021	Larvae		8		Mid	27.1	20.02	1	0	0	22.5	1	1912.88	1815.54	7.7567	7.725	811.8	1.9	1.21	7.687	892.4	1.93	1.25
7/30/2021	Larvae		9		Mid	27.1	20.03	1	0	0	22.6	1	1913.03	1817.22	7.7599	7.724	809.3	1.91	1.23	7.69	886.3	1.95	1.26
7/30/2021	Larvae		10		Mid	27.1	20.07	1	0	0	22.7	1	1918.1	1809.71	7.7753	7.733	779.4	1.98	1.27	7.706	850.6	2.01	1.29
7/30/2021	Larvae		11		High	27.2	20.04	1	0	0	22.5	1	1927.49	1911.47	7.4429	7.41	1750.8	0.99	0.63	7.382	1903.1	1.02	0.66
7/30/2021	Larvae		12		High	27.2	19.98	1	0	0	22.7	1	1925.73	1911.82	7.4398	7.407	1778.2	0.98	0.63	7.379	1919.7	1.01	0.65
7/30/2021	Larvae		13		High	27.2	20.08	1	0	0	22.7	1	1921.29	1900.99	7.4674	7.437	1657.3	1.04	0.67	7.407	1791	1.07	0.69
7/30/2021	Larvae		14		High	27.2	20.07	1	0	0	22.9	1	1918.28	1904.84	7.4463	7.415	1753.5	1	0.64	7.386	1880.8	1.02	0.66
7/30/2021	Larvae		15		High	27.2	20.11	1	0	0	22.8	1	1918.96	1899.18	7.4621	7.427	1679.8	1.03	0.66	7.402	1808.9	1.06	0.68
8/3/2021	Larvae		1		Ambient	27.2	20.26	1	0	0	22.8	1	1940.82	1743.77	7.9804	7.942	459	3.01	1.93	7.91	501	3.04	1.96
8/3/2021	Larvae		2		Ambient	27.2	20.21	1	0	0	22.8	1	1933.59	1750.84	7.9768	7.941	465.8	2.99	1.92	7.906	508.4	3.03	1.95
8/3/2021	Larvae		3		Ambient	27.2	20.17	1	0	0	22.8	1	1937	1752	7.9795	7.941	463.7	3.01	1.93	7.908	506.1	3.04	1.96
8/3/2021	Larvae		4		Ambient	27.2	20.06	1	0	0	22.9	1	1932.31	1750.72	7.9803	7.938	466.2	3	1.92	7.907	506.8	3.03	1.96
