"","Date","Type","Treatment","Replicate","Temperature_bucket_C","Salinity","DO_mg_l","Temperature_spec_C","TA_mmol_kgSW","TCO2_mmol_kgSW","pH","pH_out","fCO2_out_matm","pCO2_out_matm","HCO3_out_mmol_kgSW","CO3_out_mmol_kgSW","CO2_out_mmol_kgSW","B_alk_out_mmol_kgSW","OH_out_mmol_kgSW","P_Alk_out_mmol_kgSW","Si_Alk_out_mmol_kgSW","Revelle_out","Wca_out","War_out_DIC_pH","xCO2_out._dry_at._1_atm_.ppm_.DIC_pH","Food","pCO2_treatment"
"1","9/24/2021","Juveniles","7.5","A",22.7,26.24,"9.31",20.25,1816.68,1727.98,7.8044,7.769,693.5,695.8,1628.3,77.8,21.9,36.1,2.5,0,0,14.897,1.99,1.27,715,"High","Moderate"
"2","9/24/2021","Juveniles","8","A",22.7,26.34,"9.16",20.05,1815.16,1725.16,7.8343,7.796,649,651.2,1622,82.7,20.5,38.3,2.6,0,0,14.474,2.11,1.35,669.1,"High","Low"
"3","9/28/2021","Juveniles","7.5","A",21.4,26.41,"9.24",19.87,1819.52,1764.5,7.7398,7.718,792.8,795.4,1670.7,67.9,25.9,31.8,2,0,0,15.97,1.73,1.1,815.6,"High","Moderate"
"4","9/28/2021","Juveniles","7.5","B",21.3,26.4,"9.16",19.88,1819.1,1769.79,7.7424,7.722,787.1,789.8,1675.5,68.5,25.8,31.9,2,0,0,15.956,1.74,1.11,809.7,"High","Moderate"
"5","9/28/2021","Juveniles","7.5","C",21.3,26.48,"9.15",19.85,1817.57,1770.6,7.7486,7.728,776.3,778.9,1675.6,69.6,25.4,32.5,2,0,0,15.854,1.77,1.13,798.6,"High","Moderate"
"6","9/28/2021","Juveniles","7.5","D",21.4,26.42,"9.26",19.82,1818.79,1768.77,7.7433,7.721,789.5,792.1,1674.4,68.5,25.8,32,2,0,0,15.939,1.75,1.11,812.2,"High","Moderate"
"7","9/28/2021","Juveniles","8","A",21.3,26.46,"9.19",20.06,1818.02,1730.22,7.8556,7.838,585,587,1624.3,86.7,19.2,40.6,2.6,0,0,14.207,2.21,1.4,601.8,"High","Low"
"8","9/28/2021","Juveniles","8","B",21.3,26.48,"9.4",19.97,1812.11,1731.12,7.876,7.857,559.2,561.1,1622.3,90.5,18.3,42.2,2.7,0,0,13.923,2.3,1.47,575.2,"High","Low"
"9","9/28/2021","Juveniles","8","C",21.3,26.47,"9.29",20.01,1818.83,1728.82,7.879,7.86,553.7,555.6,1619.6,91.1,18.1,42.5,2.7,0,0,13.869,2.32,1.48,569.6,"High","Low"
"10","9/28/2021","Juveniles","8","D",21.3,26.47,"9.37",20.02,1781.56,1731.15,7.8918,7.873,537.6,539.4,1619.7,93.9,17.6,43.6,2.8,0,0,13.685,2.39,1.52,553,"High","Low"
